Lexema:   15      Tipo:  entero   Linea   39   Columna 9
Lexema:   ,      Tipo:  coma   Linea   39   Columna 9
Lexema:   TRUE      Tipo:  boleano   Linea   39   Columna 14
Lexema:   ,      Tipo:  coma   Linea   39   Columna 14
Lexema:   #000000      Tipo:  CodigoColor   Linea   39   Columna 22
Lexema:   ]      Tipo:  corcheteCerrar   Linea   39   Columna 22
Lexema:   ,      Tipo:  coma   Linea   39   Columna 23
Lexema:   [      Tipo:  corcheteAbrir   Linea   40   Columna 4
Lexema:   4      Tipo:  entero   Linea   40   Columna 6
Lexema:   ,      Tipo:  coma   Linea   40   Columna 6
Lexema:   15      Tipo:  entero   Linea   40   Columna 9
Lexema:   ,      Tipo:  coma   Linea   40   Columna 9
Lexema:   TRUE      Tipo:  boleano   Linea   40   Columna 14
Lexema:   ,      Tipo:  coma   Linea   40   Columna 14
Lexema:   #000000      Tipo:  CodigoColor   Linea   40   Columna 22
Lexema:   ]      Tipo:  corcheteCerrar   Linea   40   Columna 22
Lexema:   ,      Tipo:  coma   Linea   40   Columna 23
Lexema:   [      Tipo:  corcheteAbrir   Linea   41   Columna 4
Lexema:   5      Tipo:  entero   Linea   41   Columna 6
Lexema:   ,      Tipo:  coma   Linea   41   Columna 6
Lexema:   15      Tipo:  entero   Linea   41   Columna 9
Lexema:   ,      Tipo:  coma   Linea   41   Columna 9
Lexema:   TRUE      Tipo:  boleano   Linea   41   Columna 14
Lexema:   ,      Tipo:  coma   Linea   41   Columna 14
Lexema:   #000000      Tipo:  CodigoColor   Linea   41   Columna 22
Lexema:   ]      Tipo:  corcheteCerrar   Linea   41   Columna 22
Lexema:   ,      Tipo:  coma   Linea   41   Columna 23
Lexema:   [      Tipo:  corcheteAbrir   Linea   42   Columna 4
Lexema:   6      Tipo:  entero   Linea   42   Columna 6
Lexema:   ,      Tipo:  coma   Linea   42   Columna 6
Lexema:   15      Tipo:  entero   Linea   42   Columna 9
Lexema:   ,      Tipo:  coma   Linea   42   Columna 9
Lexema:   TRUE      Tipo:  boleano   Linea   42   Columna 14
Lexema:   ,      Tipo:  coma   Linea   42   Columna 14
Lexema:   #000000      Tipo:  CodigoColor   Linea   42   Columna 22
Lexema:   ]      Tipo:  corcheteCerrar   Linea   42   Columna 22
Lexema:   ,      Tipo:  coma   Linea   42   Columna 23
Lexema:   [      Tipo:  corcheteAbrir   Linea   43   Columna 4
Lexema:   7      Tipo:  entero   Linea   43   Columna 6
Lexema:   ,      Tipo:  coma   Linea   43   Columna 6
Lexema:   15      Tipo:  entero   Linea   43   Columna 9
Lexema:   ,      Tipo:  coma   Linea   43   Columna 9
Lexema:   TRUE      Tipo:  boleano   Linea   43   Columna 14
Lexema:   ,      Tipo:  coma   Linea   43   Columna 14
Lexema:   #000000      Tipo:  CodigoColor   Linea   43   Columna 22
Lexema:   ]      Tipo:  corcheteCerrar   Linea   43   Columna 22
Lexema:   ,      Tipo:  coma   Linea   43   Columna 23
Lexema:   [      Tipo:  corcheteAbrir   Linea   44   Columna 4
Lexema:   8      Tipo:  entero   Linea   44   Columna 6
Lexema:   ,      Tipo:  coma   Linea   44   Columna 6
Lexema:   15      Tipo:  entero   Linea   44   Columna 9
Lexema:   ,      Tipo:  coma   Linea   44   Columna 9
Lexema:   TRUE      Tipo:  boleano   Linea   44   Columna 14
Lexema:   ,      Tipo:  coma   Linea   44   Columna 14
Lexema:   #000000      Tipo:  CodigoColor   Linea   44   Columna 22
Lexema:   ]      Tipo:  corcheteCerrar   Linea   44   Columna 22
Lexema:   ,      Tipo:  coma   Linea   44   Columna 23
Lexema:   [      Tipo:  corcheteAbrir   Linea   45   Columna 4
Lexema:   9      Tipo:  entero   Linea   45   Columna 6
Lexema:   ,      Tipo:  coma   Linea   45   Columna 6
Lexema:   15      Tipo:  entero   Linea   45   Columna 9
Lexema:   ,      Tipo:  coma   Linea   45   Columna 9
Lexema:   TRUE      Tipo:  boleano   Linea   45   Columna 14
